# Table containing the value of the 100 data points for the P_obs(z) distribution predicted by the best-fit model.
# A normalized version of this distribution is visualized in blue in Figure 9.
# The redshift array z is spaced logarithmically from 10^-3 to 1, and linearly afterwards.
z P_obs(z)
0.001 0.0019044558616322703
0.001108603178422691 0.002187930707407514
0.0012290010072088927 0.0025129292249052794
0.0013624744228764685 0.0028852670928700102
0.0015104434757204745 0.0033114713834153774
0.0016744824380115347 0.0037988292062702505
0.001856336552992564 0.0043554257627603605
0.0020579406028697783 0.004990166927305874
0.0022814394933465473 0.00571278191734407
0.0025292110737030363 0.006533803966513909
0.002803891435209053 0.007464532728327615
0.003108402957024917 0.008516993627296137
0.003445985397976314 0.009703929314304414
0.003820230364994727 0.011038889418697326
0.004235119524940031 0.012536527622288029
0.0046950669663485154 0.01421326476551095
0.005204966161801346 0.016088516573511322
0.005770242030555532 0.018186678908889295
0.006396908655342066 0.020539953851635675
0.007091633267391836 0.023191818243873796
0.007861807180438683 0.026200453729281405
0.008715624428380657 0.029640882334368263
0.009662168943241246 0.033604242309313956
0.010711511200934264 0.03819318456500833
0.011874815363065987 0.043514203871815864
0.013164458054677555 0.0496703070291164
0.01459416004162774 0.056758718656985716
0.016179132208557944 0.0648759789579249
0.017936237390528267 0.07412734093633744
0.01988416978008356 0.08463374611353931
0.022043653818497055 0.09653222180578616
0.024437664687235336 0.10997148121650918
0.02709167274549705 0.1251070832564282
0.030033914514445422 0.14209868177590557
0.0332956930911896 0.16110982295684548
0.036911711188679225 0.18231035956771188
0.04092044034479021 0.20588257311985902
0.045364530228690546 0.23203743940382648
0.05029126239917858 0.26106672196099584
0.05575305334261897 0.2932794842238206
0.06180801214239723 0.32826903477194785
0.06852055871304988 0.36632221421145816
0.0759621091765857 0.4077614739762352
0.08421183567285438 0.4526609659230693
0.09335750868773576 0.5009902717988461
0.10349643086084785 0.5525993734460886
0.1147364722077402 0.6072816559743728
0.12719721777050766 0.665158964484832
0.141011239906908 0.7279344870066131
0.1563255087541228 0.7936702350128878
0.17330295587336475 0.8544923640286655
0.19212420771125951 0.9172298305846204
0.21298950732064378 0.9913833621403417
0.2361208447863487 1.0790132535936336
0.26176431902199704 1.1388382337775138
0.2901927560654372 1.1874788543756734
0.3217086117293843 1.2248187950624707
0.3566471894891472 1.2399477664173286
0.39538020784318834 1.2352906346772412
0.43831975510038274 1.2064157820289672
0.48592267366973985 1.156478248523928
0.5386954204979256 1.088446017258534
0.5971994553657489 1.0062393519868889
0.6620572143707693 0.9114115670721669
0.7339587321491077 0.802220474866707
0.8136689832915893 0.6832374987090956
0.9020360210610153 0.565335332202323
1.0 0.45643146841342974
1.0979639789389846 0.36417090669948626
1.1959279578779691 0.2769980356862119
1.2938919368169537 0.20235397285890694
1.3918559157559383 0.14688481051430835
1.4898198946949228 0.10763085832980733
1.5877838736339074 0.07845347271452063
1.685747852572892 0.05630349472848705
1.7837118315118765 0.03963022103358244
1.881675810450861 0.027152713261994334
1.9796397893898456 0.018010038920006494
2.07760376832883 0.011619954395884358
2.1755677472678148 0.007425665634900157
2.2735317262067993 0.004773207031888906
2.371495705145784 0.003094181634460108
2.4694596840847685 0.002025611070600821
2.567423663023753 0.0013375930796130071
2.6653876419627376 0.0008783682411346162
2.763351620901722 0.0005630553031802511
2.8613155998407067 0.0003498591561881251
2.9592795787796913 0.00021249968424679526
3.057243557718676 0.00012843865046777383
3.1552075366576604 7.867033654233785e-05
3.253171515596645 4.933654665223466e-05
3.3511354945356295 3.1615988375539935e-05
3.449099473474614 2.046526055240751e-05
3.5470634524135987 1.3210252631496957e-05
3.6450274313525832 8.434260622972562e-06
3.742991410291568 5.304437953315741e-06
3.8409553892305524 3.272340376607298e-06
3.938919368169537 1.9662722303461726e-06
4.036883347108521 1.1399284849817866e-06
4.134847326047506 6.314514970154925e-07
