"TNS Name" SNR DM
FRB20190430C 22.5 400.56061886
FRB20190621C 14.4 570.26722837
FRB20190322C 53.1 1192.08061462
FRB20190218A 13.7 1285.1286414
FRB20190515D 13.0 426.06110587
FRB20190601B 29.3 787.79524969
FRB20190323B 57.2 789.56310811
FRB20190518C 34.5 444.07952485
FRB20190604E 16.8 1218.59645489
FRB20190223A 13.2 389.23652225
FRB20190330B 44.9 668.09274629
FRB20190604A 33.8 552.48472382
FRB20190519F 20.2 797.76629848
FRB20190607A 97.7 562.4527608
FRB20190405B 20.6 1113.21801394
FRB20190614C 12.0 589.16327248
FRB20190520A 21.8 432.50628559
FRB20190609D 16.6 511.71436212
FRB20190701E 15.2 890.47706494
FRB20190531B 55.3 167.95968643
FRB20190624B 39.1 213.92218907
FRB20190414A 13.5 811.98066398
FRB20190604G 21.1 233.04528217
FRB20190625C 12.1 442.23883929
FRB20190316A 12.7 515.92730944
FRB20190416B 19.7 575.36020757
FRB20190609B 41.2 292.18752209
FRB20190320B 17.9 489.49487745
FRB20190421A 12.3 223.64065835
FRB20190323A 14.7 857.50380332
FRB20190624A 15.3 973.84729512
FRB20190423C 14.8 855.527284
FRB20190627B 56.2 430.32238743
FRB20190630D 19.1 323.51741252
FRB20190701D 34.4 933.36293731
FRB20190414B 13.6 506.48878221
FRB20190516B 15.3 1235.41557559
FRB20190417A 13.4 1380.08068537
FRB20190418A 20.4 184.50690874
FRB20190518B 12.8 913.77224015
FRB20190421B 78.9 392.2474971
FRB20190423A 39.0 242.64562095
FRB20190601A 15.1 2227.89132914
FRB20190519E 17.0 693.8296944
FRB20190627C 49.9 968.6127334
FRB20190701A 12.1 637.093375
FRB20190604D 15.2 1021.1687467
FRB20190621D 17.4 647.51435209
FRB20190701B 15.0 749.11423797
